"YEAR","Level","SYS_SCH","RESA_NAME","SYSTEMID","SYSTEMNAME","SCHOOLNAME","SCHOOLID","PCT_ASIAN","PCT_NATIVE","PCT_BLACK","PCT_HISPANIC","PCT_MULTI","PCT_WHITE","PCT_ED","PCT_SWD","PCT_LEP"
"2022","SCHOOL","6030302","Okefenokee RESA","603","Bacon County","Bacon County High School","0302",".2","0","19.2","16.7","3.3","60.6",28.3,14.9,3
"2023","SCHOOL","6030302","Okefenokee RESA","603","Bacon County","Bacon County High School","0302",".3","0","19.1","18.1","4.3","58.2",37.1,15.2,5.2
"2024","SCHOOL","6030302","Okefenokee RESA","603","Bacon County","Bacon County High School","0302",".4","0","21.4","17.7","4.3","56.1",64.7,16.1,6.4
"2025","SCHOOL","6030302","Okefenokee RESA","603","Bacon County","Bacon County High School","0302",".1","0","20.4","17.2","5.4","56.8",59.1,15.6,4.9
"2018","SCHOOL","6033050","Okefenokee RESA","603","Bacon County","Bacon County Elementary School","3050","0","0","23","14","5","57",47,19,13
"2019","SCHOOL","6033050","Okefenokee RESA","603","Bacon County","Bacon County Elementary School","3050","0","0","22","15","5","57",46.9,16,11
"2020","SCHOOL","6033050","Okefenokee RESA","603","Bacon County","Bacon County Elementary School","3050","0","0","22","16","5","56",44.7,18,11
"2021","SCHOOL","6033050","Okefenokee RESA","603","Bacon County","Bacon County Elementary School","3050","0","0","21","15","7","58",49.8,20.4,10
"2022","SCHOOL","6033050","Okefenokee RESA","603","Bacon County","Bacon County Elementary School","3050",".4","0","22.7","15.1","6.5","55.3",39.3,18.8,9.4
"2023","SCHOOL","6033050","Okefenokee RESA","603","Bacon County","Bacon County Elementary School","3050",".2","0","23.1","17.1","5.2","54.3",51,21.3,10.9
"2024","SCHOOL","6033050","Okefenokee RESA","603","Bacon County","Bacon County Elementary School","3050",".2","0","24.8","17.1","4.3","53.5",79.5,21.8,11.8
"2025","SCHOOL","6033050","Okefenokee RESA","603","Bacon County","Bacon County Elementary School","3050",".2","0","26.9","16.3","3","53.6",71.2,20.9,13.1
"2018","DISTRICT","604","Southwest Georgia RESA","604","Baker County","Baker County","604","0","0","60","12","6","23",68.3,19,0
"2019","DISTRICT","604","Southwest Georgia RESA","604","Baker County","Baker County","604","0.0","0.0","60.0","12.0","6.0","23.0",68.3,19,0
"2020","DISTRICT","604","Southwest Georgia RESA","604","Baker County","Baker County","604","0.0","0.0","53.0","15.0","7.0","25.0",63.4,18.3,1
"2021","DISTRICT","604","Southwest Georgia RESA","604","Baker County","Baker County","604","2","0","54","15","6","24",62,17.8,1
"2022","DISTRICT","604","Southwest Georgia RESA","604","Baker County","Baker County","604","1.6","0","54.1","11.3","5","28",55.6,16,5.3
"2023","DISTRICT","604","Southwest Georgia RESA","604","Baker County","Baker County","604","1.2",".3","57.8","9.4","5.2","26.1",61,16.7,4.9
"2024","DISTRICT","604","Southwest Georgia RESA","604","Baker County","Baker County","604","1.5","0","55","12.3","4.8","26.4",85.9,18.3,8.1
"2025","DISTRICT","604","Southwest Georgia RESA","604","Baker County","Baker County","604","1.9","0","56.4","10.6","5.1","26",84,20.8,7.1
"2025","SCHOOL","6040102","Southwest Georgia RESA","604","Baker County","Baker County Elementary","0102","2.1","0","50.7","10.7","3.6","32.9",90.8,22.9,8.6
"2018","SCHOOL","6040105","Southwest Georgia RESA","604","Baker County","Baker County K12 School","0105","0","0","65","11","5","20",67.9,19,0
"2019","SCHOOL","6040105","Southwest Georgia RESA","604","Baker County","Baker County K12 School","0105","0","0","60","12","6","23",68.3,19,0
"2020","SCHOOL","6040105","Southwest Georgia RESA","604","Baker County","Baker County K12 School","0105","0","0","53","15","7","25",63.4,18.3,1
"2021","SCHOOL","6040105","Southwest Georgia RESA","604","Baker County","Baker County K12 School","0105","2","0","54","15","6","24",62,17.8,1
"2022","SCHOOL","6040105","Southwest Georgia RESA","604","Baker County","Baker County K12 School","0105","1.6","0","54.1","11.3","5","28",55.6,16,5.3
"2023","SCHOOL","6040105","Southwest Georgia RESA","604","Baker County","Baker County K12 School","0105","1.3",".3","57.1","9.7","5.3","26.3",60.9,16.6,5
"2024","SCHOOL","6040105","Southwest Georgia RESA","604","Baker County","Baker County K12 School","0105","1.5","0","54.9","12.6","4.9","26.1",86.1,18.4,8.3
"2025","SCHOOL","6040105","Southwest Georgia RESA","604","Baker County","Baker County High School","0105","3.6","0","61.9","13.1","6","15.5",71.4,16.7,6
"2023","SCHOOL","6040183","Southwest Georgia RESA","604","Baker County","Baker County Learning Academy","0183","","","","","","",62.5,,
"2025","SCHOOL","6040183","Southwest Georgia RESA","604","Baker County","Baker County Learning Academy","0183","0","0","81.8","0","9.1","9.1",100,27.3,0
"2025","SCHOOL","6040184","Southwest Georgia RESA","604","Baker County","Baker County Middle School","0184","0","0","57.1","9.1","6.5","27.3",84.8,20.8,6.5
"2018","DISTRICT","605","Oconee RESA","605","Baldwin County","Baldwin County","605","2","0","67","3","4","25",54.8,12,1
"2019","DISTRICT","605","Oconee RESA","605","Baldwin County","Baldwin County","605","2.0","0.0","67.0","3.0","4.0","25.0",54.8,12,1
"2020","DISTRICT","605","Oconee RESA","605","Baldwin County","Baldwin County","605","1.0","0.0","67.0","2.0","4.0","26.0",53,13,1
"2021","DISTRICT","605","Oconee RESA","605","Baldwin County","Baldwin County","605","1","0","66","3","5","24",59.6,12.9,2
"2022","DISTRICT","605","Oconee RESA","605","Baldwin County","Baldwin County","605","1.3",".1","65.1","4","5.4","24",48.9,13,2.1
"2023","DISTRICT","605","Oconee RESA","605","Baldwin County","Baldwin County","605","1.3",".2","64.2","4.6","5.5","24.1",53.3,14,2.5
"2024","DISTRICT","605","Oconee RESA","605","Baldwin County","Baldwin County","605","1.3",".2","64.2","5.4","5.3","23.7",77.8,14.8,3.3
"2025","DISTRICT","605","Oconee RESA","605","Baldwin County","Baldwin County","605","1.3",".2","63.1","6.3","5.8","23.3",72.8,15.6,3.9
"2018","SCHOOL","6050100","Oconee RESA","605","Baldwin County","Oak Hill Middle School","0100","2","0","72","2","3","21",56.6,11,2
"2019","SCHOOL","6050100","Oconee RESA","605","Baldwin County","Oak Hill Middle School","0100","1","0","72","3","3","21",58.7,12,1
"2020","SCHOOL","6050100","Oconee RESA","605","Baldwin County","Oak Hill MS","0100","1","0","72","2","4","20",58.4,11,1
"2021","SCHOOL","6050100","Oconee RESA","605","Baldwin County","Oak Hill MS","0100","1","0","71","3","4","21",62.6,13.9,2
"2022","SCHOOL","6050100","Oconee RESA","605","Baldwin County","Oak Hill MS","0100",".9",".3","66.4","3.7","5.5","23.2",55,15.2,2
"2023","SCHOOL","6050100","Oconee RESA","605","Baldwin County","Oak Hill MS","0100","1.4",".2","63.7","4","6.1","24.5",58.8,16.4,2.7
"2024","SCHOOL","6050100","Oconee RESA","605","Baldwin County","Oak Hill MS","0100","1.9",".2","63.3","4.6","5.3","24.8",81.4,17,4.4
"2025","SCHOOL","6050100","Oconee RESA","605","Baldwin County","Oak Hill MS","0100","1.4",".1","64.2","6.4","5.6","22.3",74.7,16.7,4.6
"2018","SCHOOL","6050189","Oconee RESA","605","Baldwin County","Baldwin High School","0189","1","0","71","2","3","23",40.8,11,1
"2019","SCHOOL","6050189","Oconee RESA","605","Baldwin County","Baldwin High School","0189","1","0","72","2","3","22",40.4,11,0
"2020","SCHOOL","6050189","Oconee RESA","605","Baldwin County","Baldwin High School","0189","1","0","72","2","3","22",46.4,11.8,1
"2021","SCHOOL","6050189","Oconee RESA","605","Baldwin County","Baldwin High School","0189","2","0","73","3","3","19",52.6,9.9,1
"2022","SCHOOL","6050189","Oconee RESA","605","Baldwin County","Baldwin High School","0189","1.2",".1","72.1","4.1","3.7","18.9",39.1,10.8,1.4
"2023","SCHOOL","6050189","Oconee RESA","605","Baldwin County","Baldwin High School","0189","1.2",".1","70.8","4","5","18.9",44.6,11.5,1.8
"2024","SCHOOL","6050189","Oconee RESA","605","Baldwin County","Baldwin High School","0189","1.1",".1","71.4","4.8","4.1","18.6",72.5,12.5,1.9
"2025","SCHOOL","6050189","Oconee RESA","605","Baldwin County","Baldwin High School","0189","1.1",".2","68.3","5.5","4.7","20.2",67,13.4,2.8
"2018","SCHOOL","6050300","Oconee RESA","605","Baldwin County","Lakeview Academy","0300","2","0","64","5","3","26",49,9,5
"2019","SCHOOL","6050300","Oconee RESA","605","Baldwin County","Lakeview Academy","0300","3","0","64","4","3","26",53.2,15,4
"2020","SCHOOL","6050300","Oconee RESA","605","Baldwin County","Lakeview Academy","0300","2","0","64","2","5","27",49.8,19.5,0
"2021","SCHOOL","6050300","Oconee RESA","605","Baldwin County","Lakeview Academy","0300","2","0","59","4","6","28",55.7,17.6,5
"2022","SCHOOL","6050300","Oconee RESA","605","Baldwin County","Lakeview Academy","0300","2.1",".1","62","4.9","5.6","25.3",47.4,16.2,4.5
"2023","SCHOOL","6050300","Oconee RESA","605","Baldwin County","Lakeview Academy","0300","1.7",".1","60.7","7","6","24.6",50.6,15.1,5.7
"2024","SCHOOL","6050300","Oconee RESA","605","Baldwin County","Lakeview Academy","0300","1.6",".1","61.2","7.4","4.6","25.1",73.7,16.2,5.9
"2025","SCHOOL","6050300","Oconee RESA","605","Baldwin County","Lakeview Academy","0300","1.9","0","61.8","9.2","4.2","22.9",69.6,16.8,6.8
"2018","SCHOOL","6050301","Oconee RESA","605","Baldwin County","Midway Hills Primary School","0301","1","0","62","2","7","28",67,7,3
"2019","SCHOOL","6050301","Oconee RESA","605","Baldwin County","Midway Hills Primary School","0301","1","0","62","1","5","31",68.1,12,0
"2020","SCHOOL","6050301","Oconee RESA","605","Baldwin County","Midway Hills Primary","0301","0","0","65","0","5","30",59.5,14.1,0
"2021","SCHOOL","6050301","Oconee RESA","605","Baldwin County","Midway Hills Primary","0301","1","0","59","1","6","33",65.4,10.8,0
"2022","SCHOOL","6050301","Oconee RESA","605","Baldwin County","Midway Hills Primary","0301",".6",".4","61","3.4","5.7","29",52.8,11.7,0
"2023","SCHOOL","6050301","Oconee RESA","605","Baldwin County","Midway Hills Primary","0301",".6",".4","62.8","3.6","5.1","27.5",58.7,11.4,0
"2024","SCHOOL","6050301","Oconee RESA","605","Baldwin County","Midway Hills Primary","0301",".2",".6","65.4","3.1","5.7","25",86.8,12.2,0
